Rank,Team,Player,"Fantasy Position",Games,ADP,Bye,SOS,InjuryRisk,"Floor Proj","Consensus Proj","DS Proj",CeilingProj,"3D Value"
63,WAS,"Terry McLaurin",WR,17,4.10,12,-0.2%,59%,198.9,229,234,280.8,28.6
64,KC,"Xavier Worthy",WR,17,6.07,10,0.6%,54%,195.1,213,230,298.4,28.4
65,PIT,"D.K. Metcalf",WR,17,6.01,5,1.9%,68%,200.1,227,235,277.8,28.4
66,PHI,"DeVonta Smith",WR,17,6.05,9,1.1%,72%,202.1,221,230,287.1,28.3
67,MIA,"Jaylen Waddle",WR,17,8.02,12,2.9%,66%,191.9,204,237,289.1,28.1
68,NE,"TreVeyon Henderson",RB,17,5.03,14,3.7%,75%,169.8,208,223,294.9,27.6
69,DET,"Sam LaPorta",TE,17,4.12,8,2.9%,84%,175.3,182,193,254.3,27.4
70,MIA,"Tua Tagovailoa",QB,17,9.11,12,2.2%,30%,255.2,258,290,333.5,27.4
71,CAR,"Bryce Young",QB,17,9.10,14,3.6%,22%,247.2,260,284,329.7,26.6
72,DAL,"George Pickens",WR,17,7.04,10,-3.2%,52%,189.7,207,226,284.5,26.4
73,BAL,"Zay Flowers",WR,17,7.01,7,1.2%,62%,205,208,233,258.6,26.3
74,DEN,"Courtland Sutton",WR,17,6.12,12,-1.3%,67%,202.7,218,230,258,26.2
75,KC,"Rashee Rice",WR,11,5.07,10,0.6%,80%,180.4,211,223,287.3,26
76,TEN,"Tony Pollard",RB,17,8.04,10,-0.4%,60%,169.3,203,220,268.3,25.5
77,ATL,"Michael Penix Jr.",QB,17,8.10,5,3.3%,15%,248.2,254,270,329.1,25.2
78,DET,"Jameson Williams",WR,17,7.02,8,1%,48%,185.5,198,221,284.9,25.2
79,LVR,"Geno Smith",QB,17,10.11,8,-1.4%,33%,250.7,262,272,321.5,25.2
80,DET,"David Montgomery",RB,17,6.11,8,-6.6%,95%,176.6,192,218,261.6,24.7
81,KC,"Travis Kelce",TE,17,6.09,10,-8.1%,52%,151.8,182,197,230.6,24.2
82,SEA,"Sam Darnold",QB,17,11.03,8,4%,30%,245,239,266,319.6,23.9
83,TEN,"Calvin Ridley",WR,17,8.06,10,1.2%,39%,179.8,204,225,253.9,23.7
84,CLE,"Jerry Jeudy",WR,17,8.08,9,-2.2%,50%,187.9,212,211,268.1,23.5
85,KC,"Isiah Pacheco",RB,17,7.06,10,-1%,93%,153.5,183,216,268.1,23.5
86,NO,"Chris Olave",WR,17,8.07,11,-1%,75%,166.9,195,217,277.4,23.3
87,CLE,"David Njoku",TE,17,9.02,9,2.3%,78%,158.3,178,191,230.8,23.2
88,JAC,"Travis Hunter",WR,17,6.08,8,-1.2%,37%,155.1,191,210,299.7,23.1
89,IND,"Zaire Franklin",LB,17,,11,9.6%,0%,120.2,154,154,184.9,22.9
90,SF,"Ricky Pearsall",WR,17,8.12,14,1.1%,54%,170.3,184,208,294.9,22.9
91,CHI,"D'Andre Swift",RB,17,7.07,5,-3.4%,82%,148.2,192,209,267.1,22.8
92,DEN,"RJ Harvey",RB,17,6.04,12,-3%,68%,156.1,191,205,271.2,22.8
93,TEN,"Cameron Ward",QB,17,9.01,10,2.1%,22%,224.2,246,255,323.6,22.7
94,MIN,"Aaron Jones",RB,17,8.05,6,-3.5%,94%,161.9,187,205,262.2,22.4
95,MIN,"T.J. Hockenson",TE,17,6.06,6,-5.3%,61%,164.3,174,183,233.6,22.1
96,WAS,"Deebo Samuel",WR,17,9.05,12,-0.2%,94%,177.2,191,219,251.6,22.1
97,LAR,"Matthew Stafford",QB,17,10.02,8,4.9%,33%,227.1,247,250,317,22.1
98,IND,"Daniel Jones",QB,11,15.02,11,2.2%,30%,179.1,279,239,348.6,22.1
99,PIT,"Aaron Rodgers",QB,17,12.12,5,-2.5%,29%,239.4,228,249,319.1,21.8
100,CHI,"Rome Odunze",WR,17,8.01,5,0.5%,52%,181.1,188,197,289.3,21.7
101,TB,"Emeka Egbuka",WR,17,9.09,9,0.7%,26%,178.5,181,198,291.6,21.5
102,DET,"Brian Branch",DB,17,,8,-5.4%,0%,101.6,96,135,169.4,21.1
103,IND,"Josh Downs",WR,17,11.07,11,-0.9%,71%,176.5,178,203,273.9,20.8
104,LVR,"Jakobi Meyers",WR,17,9.07,8,-0.8%,68%,176.4,194,215,230.2,20.2
105,MIN,"Jordan Addison",WR,14,8.11,6,-0.6%,85%,170.8,184,203,258.2,19.8
106,BAL,"Mark Andrews",TE,17,8.03,7,4.6%,45%,155.5,163,177,231.5,19.4
107,BUF,"Khalil Shakir",WR,17,10.09,7,1.1%,53%,177.6,182,209,236.1,19.4
108,IND,"Michael Pittman Jr.",WR,17,11.08,11,-0.9%,93%,175.9,188,193,262.9,19.2
109,BAL,"Roquan Smith",LB,17,,7,4.4%,12%,122.5,157,146,175,19.2
110,NYG,"Russell Wilson",QB,12,13.05,14,-5.4%,22%,163.4,218,248,314.3,19.1
111,TB,"Antoine Winfield Jr.",DB,17,,9,-2.2%,0%,96.1,125,128,171.8,19.1
112,GB,"Matthew Golden",WR,17,9.04,5,-0.7%,70%,161.1,184,185,285.1,18.8
113,ARI,"Budda Baker",DB,17,,8,8.2%,21%,99.1,120,130,163,18.7
114,IND,"Anthony Richardson",QB,6,14.11,11,2.2%,75%,61.9,78,119,184.5,18.3
115,SF,"Jauan Jennings",WR,17,10.08,14,1.1%,71%,162.4,181,191,267.4,18.3
116,NE,"Stefon Diggs",WR,17,10.04,14,1.1%,42%,160.2,184,195,257.9,18.2
117,NYG,"Tyrone Tracy Jr.",RB,17,9.06,14,-4.6%,85%,127,180,190,227.5,17
118,IND,"Tyler Warren",TE,17,7.10,11,0.4%,26%,134.6,155,170,233.4,16.2
119,PIT,"Jaylen Warren",RB,17,10.01,5,-1.3%,77%,141,172,185,217,15.9
120,LAC,"Daiyan Henley",LB,17,,12,11.4%,0%,110.9,83,139,173.3,15.6
121,CHI,"Kevin Byard",DB,17,,5,-1.5%,0%,90.9,115,126,151.6,15.4
122,PHI,"Zack Baun",LB,17,,9,-6.1%,0%,109.3,84,137,175,15.1
123,BAL,"Kyle Hamilton",DB,17,,7,4.4%,29%,95.7,119,120,155.6,14.9
