"Note","Rank","Player","Overall Tier","Pos. Tier","Pos","Team","Bye","ADP","Floor","Consensus","DS Proj","Ceiling","3D Proj","3d Value","Market $","Auction $"
"","48","Garrett Wilson","5.0","5.0","WR","NYJ","9","4.06","167.2","182.0","190.0","241.3","197.1","37.7","$25","$25"
"","49","Xavier Worthy","5.0","5.0","WR","KC","10","5.06","161.5","177.0","190.0","247.0","196.8","37.5","$23","$25"
"","50","DJ Moore","5.0","5.0","WR","CHI","5","6.01","166.3","182.0","189.0","238.1","195.8","36.9","$22","$25"
"","51","DeVonta Smith","5.0","5.0","WR","PHI","9","5.04","165.4","180.0","188.0","235.0","194.1","36.0","$20","$24"
"Comeback","52","Jaylen Waddle","5.0","5.0","WR","MIA","12","7.07","157.1","166.0","194.0","236.7","193.9","35.8","$18","$24"
"Value","53","Jameson Williams","5.0","5.0","WR","DET","8","6.05","158.8","167.0","189.0","243.8","193.6","35.7","$26","$24"
"","54","Courtland Sutton","5.0","5.0","WR","DEN","12","6.10","169.8","180.0","193.0","216.2","192.8","35.2","$21","$24"
"Value","55","George Pickens","5.0","5.0","WR","DAL","10","6.09","157.9","170.0","188.0","236.9","191.9","34.7","$21","$23"
"","56","TreVeyon Henderson","5.0","5.0","RB","NE","14","4.07","150.5","185.0","198.0","261.4","203.3","34.3","$21","$23"
"","57","Sam LaPorta","5.0","3.0","TE","DET","8","5.03","142.9","148.0","157.0","207.2","165.0","34.0","$19","$23"
"","58","Zay Flowers","5.0","5.0","WR","BAL","7","6.03","169.0","170.0","192.0","213.1","189.9","33.6","$20","$23"
"","59","Brandon Aubrey","5.0","1.0","K","DAL","10","15.07","147.9","135.0","172.0","182.3","165.0","33.2","$9","$22"
"","60","David Montgomery","5.0","5.0","RB","DET","8","6.06","161.2","175.0","199.0","238.8","198.7","31.6","$18","$21"
"","61","Rashee Rice","5.0","5.0","WR","KC","10","5.11","146.6","171.0","181.0","233.5","186.3","31.5","$13","$21"
"","62","Tony Pollard","5.0","5.0","RB","TEN","10","7.10","151.7","182.0","197.0","240.3","197.7","31.1","$20","$21"
"","63","Travis Hunter","6.0","6.0","WR","JAC","8","5.12","131.0","155.0","177.0","253.1","184.1","30.3","$16","$20"
