player,cost,position,team,bye
Aaron Rodgers,$1,QB,PIT,5
Shedeur Sanders,$1,QB,CLE,9
Buffalo Bills,$1,DEF,BUF,7
Tahj Brooks,$1,RB,CIN,10
Tennessee Titans,$1,DEF,TEN,10
Pat Bryant,$1,WR,DEN,12
Jaxson Dart,$1,QB,NYG,14
New York Jets,$1,DEF,NYJ,9
Kendre Miller,$1,RB,NO,11
New York Giants,$1,DEF,NYG,14
Sam Darnold,$1,QB,SEA,8
Mike Gesicki,$1,TE,CIN,10
New England Patriots,$1,DEF,NE,14
Raheem Mostert,$1,RB,LV,8
Green Bay Packers,$1,DEF,GB,5
Justice Hill,$1,RB,BAL,7
Miami Dolphins,$1,DEF,MIA,12
Los Angeles Chargers,$1,DEF,LAC,12
Tyler Lockett,$1,WR,TEN,10
Los Angeles Rams,$1,DEF,LAR,8
Cade Otton,$1,TE,TB,9
Geno Smith,$1,QB,LV,8
Miles Sanders,$1,RB,DAL,10
Brashard Smith,$1,RB,KC,10
Troy Franklin,$1,WR,DEN,12
Quentin Johnston,$1,WR,LAC,12
Anthony Richardson,$1,QB,IND,11
Alec Pierce,$1,WR,IND,11
Dalton Schultz,$1,TE,HOU,6
Dyami Brown,$1,WR,JAX,8
Joseph Ngata,$1,WR,,-
Michael Wilson,$1,WR,ARI,8
Jalen Royals,$1,WR,KC,10
Adonai Mitchell,$1,WR,IND,11
Ahmad Wagner,$1,WR,,-
Andre Baccellia,$1,WR,ARI,8
Jaylin Noel,$1,WR,HOU,6
Dalton Sturm,$1,QB,,-
Devin Neal,$1,RB,NO,11
Deshaun Fenwick,$1,RB,,-
MarShawn Lloyd,$1,RB,GB,5
Jarquez Hunter,$1,RB,LAR,8
Devwah Whaley,$1,RB,,-
Scotty Washington,$1,WR,,-
Terrance Ferguson,$1,TE,LAR,8
Thyrick Pitts,$1,WR,,-
Ja'Tavion Sanders,$1,TE,CAR,14
Oliver Martin,$1,WR,,-
Andrei Iosivas,$1,WR,CIN,10
Carson Meier,$1,TE,,-
Darius Slayton,$1,WR,NYG,14
Damien Caffrey,$1,TE,,-
Cole Kmet,$1,TE,CHI,5
Allen Hurns,$1,WR,MIA,12
Russell Wilson,$1,QB,NYG,14
Jordan James,$1,RB,SF,14
Elijah Cooks,$1,WR,PHI,9
Ja'Marcus Bradley,$1,WR,,-
Matthew Trickett,$1,K,,-
Roman Wilson,$1,WR,PIT,5
Nate Wieting,$1,TE,,-
Theo Johnson,$1,TE,NYG,14
Amba Etta-Tawo,$1,WR,,-
Lorenzo Lingard,$1,RB,,-
Harold Fannin,$1,TE,CLE,9
Terrell Bynum,$1,WR,,-
Tyler Higbee,$1,TE,LAR,8
Juwan Johnson,$1,TE,NO,11
Calvin Austin,$1,WR,PIT,5
Daniel Jones,$1,QB,IND,11
Garrett Gilbert,$1,QB,,-
Ryan Izzo,$1,TE,,-
Quali Conley,$1,RB,,-
Trevor Etienne,$1,RB,CAR,14
Hayden Rucci,$1,TE,MIA,12
Noah Gray,$1,TE,KC,10
Tyler Hudson,$1,WR,,-
Tyler Shough,$1,QB,NO,11
Qualan Jones,$1,RB,,-
Diontae Johnson,$1,WR,,-
Dontayvion Wicks,$1,WR,GB,5
Chad Beebe,$1,WR,,-
Jalen Milroe,$1,QB,SEA,8
Luke Sellers,$1,RB,,-
Taysom Hill,$1,TE,NO,11
Jaleel McLaughlin,$1,RB,DEN,12
Ryan Willis,$1,QB,,-
Jalen Morton,$1,QB,IND,11
Joe Flacco,$1,QB,CLE,9
Zion Bowens,$1,WR,,-
Dallas Cowboys,$1,DEF,DAL,10
K.J. Costello,$1,QB,,-
Elijah Mitchell,$1,RB,KC,10
Joshua Cephus,$1,WR,JAX,8
Max Wittek,$1,QB,,-
Indianapolis Colts,$1,DEF,IND,11
Branden Mack,$1,WR,,-
Xavier Restrepo,$1,WR,TEN,10
Las Vegas Raiders,$1,DEF,LV,8
Nick Sciba,$1,K,,-
Oronde Gadsden,$1,TE,LAC,12
Jacksonville Jaguars,$1,DEF,JAX,8
La'Michael Pettway,$1,TE,,-
New Orleans Saints,$1,DEF,NO,11
Kayshon Boutte,$1,WR,NE,14
Parker White,$1,K,,-
D.J. Montgomery,$1,WR,IND,11
Christian Watson,$1,WR,GB,5
Tyler Davis,$1,K,,-
Jordan Whittington,$1,WR,LAR,8
Ty Scott,$1,WR,,-
Ben Sinnott,$1,TE,WAS,12
Daniel Arias,$1,WR,,-
Tristan Vizcaino,$1,K,,-
Izaiah Gathings,$1,TE,,-
Brandin Cooks,$1,WR,NO,11
Tyler Conklin,$1,TE,LAC,12
Cole Murphy,$1,K,,-
Noah Fant,$1,TE,CIN,10
River Cracraft,$1,WR,,-
Jimmy Williams,$1,WR,,-
Audric Estime,$1,RB,PHI,9
Kearis Jackson,$1,WR,,-
Jalen Tolbert,$1,WR,DAL,10
Dresser Winn,$1,QB,,-
Andrew Mevis,$1,K,,-
Brett Maher,$1,K,,-
Dylan Stapleton,$1,TE,,-
Zack Moss,$1,RB,,-
Josh Crockett,$1,WR,,-
Jordan Jones,$1,RB,,-
Nate Iese,$1,TE,,-
Alstevis Squirewell,$1,RB,,-
Keilahn Harris,$1,WR,,-
Caleb Shudak,$1,K,,-
Holton Ahlers,$1,QB,,-
Gary Jennings,$1,WR,,-
Tim Boyle,$1,QB,,-
Stephen Gosnell,$1,WR,BUF,7
Kyle Allen,$1,QB,DET,8
Kendall Hinton,$1,WR,,-
Brian Johnson,$1,K,,-
Nic Shimonek,$1,QB,,-
Chris Streveler,$1,QB,,-
Kobe Lewis,$1,RB,,-
Kevin Davidson,$1,QB,,-
Richard Rodgers,$1,TE,,-
Isaac Rex,$1,TE,,-
Tyjon Lindsey,$1,WR,,-
Shaquan Davis,$1,WR,,-
Drew Plitt,$1,QB,,-
Jesse James,$1,TE,,-
Rashod Owens,$1,WR,,-
Brett Gabbert,$1,QB,,-
Jordan Ta'amu,$1,QB,,-
Tanner Morgan,$1,QB,,-
Phillip Sims,$1,QB,,-
James McCourt,$1,K,,-
Jawhar Jordan,$1,RB,HOU,6
Christian Trahan,$1,TE,,-
Tyler Mabry,$1,TE,,-
Case Cookus,$1,QB,,-
Irvin Charles,$1,WR,NYJ,9
Roosevelt Nix,$1,RB,,-
Jaelen Gill,$1,WR,,-
Thomas Greaney,$1,TE,,-
Keytaon Thompson,$1,WR,,-
T.J. Luther,$1,WR,,-
Johnny King,$1,WR,,-
Shedrick Jackson,$1,WR,LV,8
Isaiah Winstead,$1,WR,,-
Kedon Slovis,$1,QB,ARI,8
Blake Watson,$1,RB,,-
Korey Robertson,$1,WR,,-
Kristian Wilkerson,$1,WR,BUF,7
Parker Houston,$1,TE,,-
Kendall Milton,$1,RB,CIN,10
Dominick Wood-Anderson,$1,TE,,-
Kellen Mond,$1,QB,,-
Kyrese Rowan,$1,WR,,-
Kendall Blanton,$1,TE,,-
Kevin Hogan,$1,QB,,-
Mike Glennon,$1,QB,,-
Dakereon Joyner,$1,WR,,-
Luke Willson,$1,TE,,-
Kairee Robinson,$1,RB,,-
Ricky Person,$1,RB,,-
Garrett Dickerson,$1,TE,,-
Kalil Pimpleton,$1,WR,,-
Luke Benson,$1,TE,,-
Jake Tonges,$1,TE,SF,14
Mike Boone,$1,RB,,-
Luke Schoonmaker,$1,TE,DAL,10
Kendrick Bourne,$1,WR,,-
Jake Browning,$1,QB,CIN,10
Keilan Robinson,$1,RB,,-
Nick Westbrook-Ikhine,$1,WR,MIA,12
Parker Washington,$1,WR,JAX,8
Kylen Granson,$1,TE,PHI,9
Pokey Wilson,$1,WR,,-
Kobe Hudson,$1,WR,,-
Kyle Coleman,$1,RB,,-
Kameron Johnson,$1,WR,TB,9
Kameron Brown,$1,WR,,-
Kehinde Oginni,$1,TE,,-
Dareke Young,$1,WR,SEA,8
Jack Sorenson,$1,WR,,-
Keaontay Ingram,$1,RB,KC,10
Jake Luton,$1,QB,,-
Sean McKeon,$1,TE,IND,11
Keenen Brown,$1,TE,,-
Dredrick Snelson,$1,WR,,-
KeeSean Johnson,$1,WR,,-
Kelvin Harmon,$1,WR,,-
Kerryon Johnson,$1,RB,,-
KeVonn Mabon,$1,WR,,-
Keeon Johnson,$1,WR,,-
Ricky Seals-Jones,$1,TE,,-
Keon Hatcher,$1,WR,,-
Karel Hamilton,$1,WR,,-
Kendal Thompson,$1,WR,,-
Kenneth Dixon,$1,RB,,-
Duke Johnson,$1,RB,,-
Kenjon Barner,$1,RB,,-
Ketron Jackson,$1,WR,,-
Kisean Johnson,$1,WR,,-
Talik Keaton,$1,WR,,-
Ramel Keyton,$1,WR,,-
Saquon Barkley,$70,RB,PHI,9
Bijan Robinson,$68,RB,ATL,5
Justin Jefferson,$61,WR,MIN,6
CeeDee Lamb,$55,WR,DAL,10
Amon-Ra St. Brown,$55,WR,DET,8
Christian McCaffrey,$51,RB,SF,14
Ashton Jeanty,$50,RB,LV,8
Josh Jacobs,$44,RB,GB,5
A.J. Brown,$39,WR,PHI,9
