NAME,POS,RTG,TEAM,DEP,BYE,GP,FPPG,SNAP,TOUCH,#,%
"Ja'Marr Chase","WR","81","CIN","1",12,17,13.2,4.2,0.4,55.3,85.5
"Mac Jones","QB","76","NE","1",12,17,13.2,4.7,0.2,62.6,96.3
"Sam Darnold","QB","69","CAR","1",6,12,13.1,4.9,0.3,64.2,93.1
"Justin Jefferson","WR","91","MIN","1",6,17,13.1,4.6,0.5,59.6,88.9
"Christian McCaffrey","RB","95","CAR","5",9,7,12.9,3,1.5,38.9,60
"Baker Mayfield","QB","81","CLE","1",11,14,12.9,4.9,0.2,62.6,96
"Davis Mills","QB","70","HOU","1",14,13,12.1,4.7,0.1,57.2,93.1
"Ezekiel Elliott","RB","86","DAL","1",7,17,12.1,3.9,1.4,47.6,66
"Joe Flacco","QB","67","NYJ","3",14,2,11.9,2.8,0.1,33,44.3
"David Montgomery","RB","83","CHI","1",5,13,11.8,4.2,1.7,49.4,74.6
"Aaron Jones","RB","92","GB","1",6,15,11.8,3.3,1.3,38.5,58.4
"Mike Evans","WR","90","TB","1",11,16,11.8,4.9,0.4,57.2,82
"Zach Wilson","QB","73","NYJ","1",14,13,11.7,4.9,0.2,57,92.4
"Antonio Gibson","RB","81","WAS","1",14,16,11.7,3.2,1.6,37.8,56.8
"Trevor Lawrence","QB","71","JAX","1",12,17,11.7,5.4,0.4,63.4,99.4
"Josh Johnson","QB","67","BAL","2",14,4,11.6,2.8,0.2,32,44.6
"Josh Jacobs","RB","88","LV","1",10,15,11.5,3.6,1.6,41.7,63.1
"Cordarrelle Patterson","RB","83","ATL","1",9,16,11.4,2.6,1.1,29.6,47.4
"Mark Andrews","TE","94","BAL","1",14,17,11.4,4.8,0.6,55.1,75.4
"D'Andre Swift","RB","83","DET","1",7,13,11.3,3.8,1.4,43.1,67.1
"Mike White","QB","67","NYJ","2",12,4,11,4.8,0.1,52.8,69.6
"Tyreek Hill","WR","97","KC","1",6,17,10.9,4.7,0.6,51,72.6
"Trey Lance","QB","72","SF","1",7,6,10.8,2.7,0.6,29.7,44.8
"Mike Williams","WR","85","LAC","1",12,16,10.7,5.3,0.4,56,79
"Travis Kelce","TE","99","KC","1",6,16,10.7,5.4,0.6,57.9,82.2
"Stefon Diggs","WR","99","BUF","1",14,17,10.7,5.4,0.6,57.5,81.6
"Justin Fields","QB","77","CHI","2",9,12,10.6,5,0.6,52.9,84.2
"Andy Dalton","QB","74","CHI","1",11,8,10.5,4.9,0.2,51.5,74.8
"DeAndre Hopkins","WR","97","ARI","2",5,10,10.5,5.3,0.4,56,83.3
"Diontae Johnson","WR","86","PIT","1",11,16,10.5,5.9,0.7,61.7,90.6
"Tyler Lockett","WR","92","SEA","1",10,16,10.5,4.8,0.4,50.8,87
"Tee Higgins","WR","79","CIN","1",12,14,10.4,4.9,0.5,50.8,75.6
"Chris Godwin","WR","87","TB","3",11,14,10.3,5.8,0.7,59.5,84.8
"Robert Woods","WR","87","LAR","2",14,9,10.2,5.9,0.6,60.3,92.5
"Adam Thielen","WR","88","MIN","1",11,13,10.2,5.7,0.5,58.3,83.8
"DK Metcalf","WR","92","SEA","1",10,17,10,4.8,0.4,48.2,82.7
"Nick Mullens","QB","68","CLE","3",6,1,9.9,5.7,0,56,100
"Clyde Edwards-Helaire","RB","80","KC","1",6,10,9.9,3.5,1.4,34.2,50.3
"Taysom Hill","QB","67","NO","1",12,12,9.8,3.7,0.6,35.9,56.3
"CeeDee Lamb","WR","81","DAL","1",7,16,9.6,5.7,0.6,55.1,76.4
"Keenan Allen","WR","96","LAC","1",7,16,9.5,6.4,0.7,60.8,86.4
"Javonte Williams","RB","78","DEN","1",14,17,9.5,3.4,1.5,32.4,51
"D'Onta Foreman","RB","68","TEN","6",10,9,9.4,2.7,1.7,25.6,38
"AJ Dillon","RB","80","GB","2",10,16,9.3,3.1,1.4,28.8,43.4
"Devin Singletary","RB","81","BUF","2",11,17,9.3,4.6,1.4,42.2,59.9
"Mason Rudolph","QB","67","PIT","2",5,2,9.2,5.3,0.3,48.5,61
"A.J. Brown","WR","84","TEN","1",5,13,9.1,5.1,0.6,46.5,69.4
"George Kittle","TE","93","SF","1",9,14,9.1,6.6,0.6,60,91.9
"Amari Cooper","WR","94","DAL","1",10,15,9,6.2,0.5,55.7,76.8
"Jaylen Waddle","WR","82","MIA","1",6,16,8.9,6.4,0.7,56.4,83.4
"Brandin Cooks","WR","84","HOU","1",7,16,8.9,5.9,0.6,51.9,83.3
"Michael Pittman Jr.","WR","84","IND","1",14,17,8.9,6.5,0.6,57.6,88
"Elijah Moore","WR","75","NYJ","4",10,11,8.7,5,0.5,43.3,63.6
"Drew Lock","QB","67","DEN","2",11,6,8.5,4.6,0.2,39,66.1
"Michael Carter","RB","77","NYJ","1",11,14,8.5,3.8,1.5,32.1,48.8
"Marquise Brown","WR","83","BAL","1",6,16,8.5,6.8,0.7,57.8,79.6
"DJ Moore","WR","67","CAR","1",7,17,8.5,6.9,0.7,58.4,86.3
"Gardner Minshew","QB","67","PHI","2",10,4,8.4,4.9,0.3,41.5,60.8
"Chase Edmonds","RB","80","ARI","1",11,12,8.4,4.7,1.6,39.6,57.4
"Rhamondre Stevenson","RB","70","NE","3",14,12,8.4,2.6,1.5,22.1,34.1
"Saquon Barkley","RB","87","NYG","1",5,13,8.3,4.8,1.9,39.5,61.2
"Tony Pollard","RB","83","DAL","2",5,15,8.2,3,1.4,24.9,34.6
"Darnell Mooney","WR","78","CHI","1",12,17,8.2,7.1,0.6,58,87.9
"Amon-Ra St. Brown","WR","77","DET","1",5,17,8.1,5.5,0.7,44.7,69
"Calvin Ridley","WR","87","ATL","3",5,5,8,7.5,0.8,59.8,86.7
"Terry McLaurin","WR","90","WAS","1",14,17,8,7.4,0.6,59.4,89.6
"Dawson Knox","TE","82","BUF","1",12,15,7.7,8,0.4,61.1,86.7
"Christian Kirk","WR","84","ARI","2",12,17,7.7,6.8,0.6,52.5,76.2
"Dalton Schultz","TE","82","DAL","2",14,17,7.7,7.6,0.6,58.5,80.9
"Miles Sanders","RB","83","PHI","1",11,12,7.6,4.7,1.8,35.5,53.3
"Kendrick Bourne","WR","78","NE","1",14,17,7.4,4.6,0.5,33.6,51.8
"Dallas Goedert","TE","82","PHI","1",5,15,7.3,7.2,0.5,52.1,78.6
"Tyler Boyd","WR","85","CIN","1",5,16,7.3,6.9,0.6,50.5,77.2
"Myles Gaskin","RB","72","MIA","2",6,17,7.3,4.6,1.8,33.8,49.8
"Jamaal Williams","RB","74","DET","2",12,13,7.2,3.4,1.9,24.4,37.7
"DeVonta Smith","WR","83","PHI","1",5,17,7.2,7.5,0.5,53.9,81.8
"T.J. Hockenson","TE","89","DET","3",6,12,7,7.8,0.7,54.8,83.8
"Van Jefferson","WR","78","LAR","1",9,17,7,7.4,0.4,51.5,80.3
"DJ Chark Jr.","WR","78","JAX","3",5,4,6.8,6.2,0.3,42.2,66.5
"Allen Lazard","WR","78","GB","2",12,15,6.8,7,0.4,47.7,72.8
"Brandon Aiyuk","WR","80","SF","1",9,17,6.7,7.9,0.5,53.3,83
"Hunter Henry","TE","87","NE","2",14,17,6.7,6.6,0.4,44.1,67.8
"Jacoby Brissett","QB","72","MIA","2",14,11,6.6,5.2,0.3,34.2,51.6
"Chuba Hubbard","RB","73","CAR","1",11,17,6.6,4.1,1.7,27.4,40.5
"Tim Patrick","WR","76","DEN","2",5,16,6.5,8.2,0.5,53.1,83.2
"Cedrick Wilson","WR","75","DAL","2",12,16,6.4,5.1,0.5,33,45.6
"K.J. Osborn","WR","74","MIN","1",14,17,6.4,7.1,0.5,45.5,67.8
"Kyle Pitts","TE","89","ATL","1",12,17,6.4,7.1,0.6,45.5,73.6
"Zack Moss","RB","75","BUF","1",12,13,6.3,4.6,1.4,29.2,42.3
"Zach Ertz","TE","84","ARI","1",14,17,6.3,7.9,0.7,49.9,74.3
"Odell Beckham Jr.","WR","88","LAR","1",6,14,6.1,7.8,0.5,47.6,72.2
"Jakobi Meyers","WR","81","NE","1",10,17,6.1,9,0.8,54.8,84.3
"Sterling Shepard","WR","86","NYG","2",11,7,6,8.2,0.9,49.1,73.7
"Deonte Harris","WR","73","NO","1",14,13,5.9,3.9,0.5,22.9,35.8
"Alexander Mattison","RB","74","MIN","2",10,16,5.9,4,1.8,23.6,35
"Tyler Higbee","TE","82","LAR","1",6,15,5.7,10.3,0.7,58.9,91.5
"Kenneth Gainwell","RB","75","PHI","3",5,16,5.7,3.3,1.1,18.6,28.6
"Gabriel Davis","WR","77","BUF","1",12,16,5.7,6.3,0.4,35.7,51
"Noah Fant","TE","80","DEN","1",10,16,5.7,9.3,0.7,52.7,84
"Pat Freiermuth","TE","75","PIT","2",9,16,5.7,7.4,0.7,42.7,62
"Craig Reynolds","RB","67","DET","3",5,5,5.6,4.2,2.2,23.6,37.2
"Marquez Valdes-Scantling","WR","77","GB","1",12,11,5.5,7.5,0.4,41.4,62.1
"Kristian Wilkerson","WR","67","NE","3",10,3,5.4,4.1,0.2,22.3,33.8
"Donovan Peoples-Jones","WR","76","CLE","1",5,14,5.4,9.2,0.4,49.9,77.4
"Mike Gesicki","TE","90","MIA","1",12,17,5.4,9,0.8,48.7,71.8
"Courtland Sutton","WR","81","DEN","1",14,17,5.4,10,0.6,54.1,85.1
"Kalif Raymond","WR","69","DET","1",5,16,5.3,8.8,0.6,46.4,71.4
"Boston Scott","RB","79","PHI","2",9,16,5.3,2.6,1.2,13.7,20.9
"Ty Johnson","RB","70","NYJ","3",12,16,5.2,4.9,1.1,25.6,39.3
"Dante Pettis","WR","73","NYG","3",7,3,5.1,5.4,0.7,27.3,39.6
"Tre'Quan Smith","WR","73","NO","1",5,11,5.1,9.3,0.6,47.3,70.3
"Byron Pringle","WR","76","KC","2",14,17,5,6.9,0.5,34.5,49
"D'Ernest Johnson","RB","71","CLE","2",12,17,5,3.9,1.4,19.5,29.9
"Robby Anderson","WR","84","CAR","1",6,17,5,11.4,0.7,57.5,85.1
"Tim Boyle","QB","67","DET","2",6,5,4.9,7.4,0.1,36,59.6
"Jeff Wilson Jr.","RB","73","SF","3",6,9,4.9,5.1,1.9,25.3,39
"Jamison Crowder","WR","78","NYJ","1",14,12,4.9,9.2,0.9,44.8,67.2
"Cooper Rush","QB","67","DAL","3",7,5,4.8,4.7,0.4,22.6,31.2
"Rashod Bateman","WR","75","BAL","1",14,12,4.8,10.5,0.8,50.3,67.6
"Mecole Hardman","WR","75","KC","1",6,17,4.8,7.6,0.8,36.6,52.1
"Jerry Jeudy","WR","81","DEN","1",10,10,4.7,8.8,0.9,41.2,65.1
"Gerald Everett","TE","79","SEA","1",7,15,4.7,9.3,0.7,43.3,74.7
"Braxton Berrios","WR","71","NYJ","1",6,16,4.7,5.2,0.7,24.4,36.6
"David Njoku","TE","79","CLE","2",10,16,4.5,9.4,0.5,41.9,64.3
"Tyler Conklin","TE","78","MIN","1",12,17,4.5,12,0.8,54.4,81
"Nelson Agholor","WR","77","NE","1",14,15,4.4,10.6,0.6,47.1,72.9
"Josh Reynolds","WR","73","DET","1",14,12,4.3,9.2,0.6,39.6,58.2
"Nick Westbrook-Ikhine","WR","69","TEN","3",5,16,4.3,9.5,0.5,41.3,59
"Nyheim Hines","RB","79","IND","2",10,17,4.3,4.8,1.3,20.7,31.6
"Case Keenum","QB","67","CLE","1",14,7,4.1,6.1,0.4,24.9,38.8
"Allen Robinson II","WR","84","CHI","1",5,12,4.1,12.6,0.8,51.4,80.1
"Laquon Treadwell","WR","69","JAX","1",14,12,4.1,9.8,0.7,40.4,65.5
"Jalen Guyton","WR","76","LAC","2",10,16,4.1,9.3,0.6,38.3,54.1
"Kyle Allen","QB","67","WAS","2",9,2,4,4.7,0.3,18.5,28.9
"JuJu Smith-Schuster","WR","78","PIT","1",6,5,4,11.2,0.9,44.4,68.9
"Robert Tonyan","TE","79","GB","5",6,8,4,9.4,0.6,38.2,60.1
"Brevin Jordan","TE","72","HOU","1",14,9,4,6.5,0.6,25.8,40.3
"Laviska Shenault Jr.","WR","75","JAX","1",10,16,4,10.9,1.2,43.6,68.9
"Rondale Moore","WR","76","ARI","1",12,14,3.9,7.8,1.3,30.9,45.2
"Evan Engram","TE","81","NYG","1",12,15,3.8,12.8,0.8,48.1,74.4
"Khalil Herbert","RB","70","CHI","2",7,17,3.8,4.8,1.8,18.4,27.9
"Parris Campbell","WR","76","IND","2",5,6,3.7,8,0.5,29.5,46.3
"Lil'Jordan Humphrey","WR","67","NO","2",14,10,3.7,5.9,0.4,21.6,35.1
"DeAndre Carter","WR","68","WAS","2",7,17,3.7,8.1,0.5,29.7,44.8
"Jake Fromm","QB","67","NYG","1",5,3,3.6,10.4,0.7,37.7,56.8
"Nico Collins","WR","73","HOU","1",14,14,3.6,10.6,0.7,38.3,59.2
"Jauan Jennings","WR","68","SF","2",9,16,3.6,5.8,0.4,21.1,32.8
"Cole Kmet","TE","70","CHI","1",7,17,3.6,15.3,1,55,83.3
"Jordan Love","QB","70","GB","2",10,6,3.5,6.2,0.6,21.8,33.9
"Samaje Perine","RB","68","CIN","3",6,16,3.5,4.9,1.5,17.2,26.8
"Zach Pascal","WR","74","IND","1",11,16,3.5,15.4,0.7,54.5,83.5
"Olamide Zaccheaus","WR","67","ATL","1",14,17,3.5,10.4,0.5,35.9,58
"Zay Jones","WR","72","LV","2",11,17,3.5,10.9,0.8,37.6,56.1
"Joshua Palmer","WR","72","LAC","1",5,17,3.5,7.6,0.6,26.9,38.3
"Austin Hooper","TE","82","CLE","1",14,16,3.4,13.2,0.7,44.8,68.2
"Darius Slayton","WR","75","NYG","1",11,13,3.3,12.6,0.6,41.2,63.9
"Jeremy McNichols","RB","67","TEN","3",14,14,3.3,5.9,1.5,19.2,27.7
"Travis Homer","RB","67","SEA","3",7,14,3.3,4,0.8,12.9,21.9
"Foster Moreau","TE","68","LV","2",12,17,3.3,13.5,0.5,44,65.6
"Mo Alie-Cox","TE","73","IND","1",14,17,3.3,11,0.4,35.9,54.8
"Jermar Jefferson","RB","68","DET","6",5,7,3.1,1.7,0.9,5.1,8.1
"Albert Okwuegbunam","TE","72","DEN","2",5,14,3.1,9.8,0.8,30.1,47.3
"Devin Duvernay","WR","74","BAL","1",12,16,3.1,12,0.8,37.7,51
"Anthony Firkser","TE","74","TEN","1",12,15,3,8.8,0.8,26.4,38.5
"Ameer Abdullah","RB","69","CAR","2",10,17,3,6.1,1.7,18.5,27
"J.J. Taylor","RB","67","NE","4",14,5,2.9,3.6,1.6,10.4,15.7
"Chris Moore","WR","70","HOU","2",11,12,2.9,6.9,0.6,20,32.8
"Hayden Hurst","TE","73","ATL","2",5,13,2.9,10.8,0.7,31.5,50.4
"Juwan Johnson","TE","69","NO","2",12,14,2.9,5.9,0.3,16.9,26.3
"Anthony Miller","WR","77","PIT","3",14,3,2.8,11.2,0.7,31.7,57.9
"Nick Vannett","TE","70","NO","3",5,7,2.8,11.8,0.5,32.6,51
"Trey Sermon","RB","75","SF","2",14,9,2.8,4.2,1.7,11.9,17.8
"Adam Trautman","TE","75","NO","1",14,13,2.8,17.7,0.7,49.4,76.3
"Donald Parham Jr.","TE","70","LAC","2",14,14,2.8,10.2,0.5,28.4,40.9
"Ke'Shawn Vaughn","RB","68","TB","4",9,12,2.7,3.4,1.2,9.2,13
"Chris Conley","WR","75","HOU","3",9,16,2.7,14.6,0.5,38.9,61.7
"Jalen Reagor","WR","72","PHI","1",14,17,2.7,16.6,1,44.1,67
"Mack Hollins","WR","67","MIA","2",12,17,2.7,7.3,0.3,20,29.5
"A.J. Dillon","RB","80","GB","2",10,1,2.6,6.2,1.9,16,28.1
"Harrison Bryant","TE","72","CLE","3",10,16,2.6,9.7,0.5,25.1,38.6
"Kyle Juszczyk","FB","85","SF","4",9,17,2.6,13.9,0.9,35.9,55.9
"Demarcus Robinson","WR","73","KC","1",6,17,2.6,15.7,0.6,40.9,58.2
"KJ Hamler","WR","68","DEN","4",12,3,2.5,11.9,0.7,29.3,43.6
"Chris Evans","RB","68","CIN","2",12,14,2.5,2.7,0.9,6.8,10.5
"Jonnu Smith","TE","81","NE","1",6,16,2.5,13.4,0.9,32.9,50.7
"Brock Wright","TE","67","DET","1",5,10,2.4,12.7,0.5,30.1,48.2
"JaMycal Hasty","RB","67","SF","6",14,11,2.4,5.8,1.5,13.9,22.7
"Brandon Allen","QB","67","CIN","2",9,6,2.3,6.7,0.5,15.3,22.9
"Josiah Deguara","TE","68","GB","3",12,16,2.3,10.1,0.7,22.9,34.9
"Ashton Dulin","WR","71","IND","2",14,17,2.3,8.5,0.4,19.4,29.5
"DeeJay Dallas","RB","67","SEA","2",11,17,2.3,4.1,1.4,9.5,16.2
"Isaiah McKenzie","WR","72","BUF","2",11,15,2.2,7.9,0.9,17.1,23.9
"MyCole Pruitt","TE","70","TEN","3",9,16,2.2,13.9,0.4,29.9,42.9
"John Bates","TE","67","WAS","1",14,17,2.2,14.1,0.5,30.5,46.1
"Dare Ogunbowale","RB","67","JAX","1",14,17,2.2,5.1,1.5,11.1,17.4
"Tommy Tremble","TE","68","CAR","1",11,16,2.1,15.7,0.7,32.6,47.9
"Tyler Johnson","WR","71","TB","2",6,17,2.1,17,1,36,51.7
"Durham Smythe","TE","69","MIA","2",6,17,2.1,19.9,1,42.1,62
"Raheem Mostert","RB","83","SF","7",6,1,2,2,1,4,7.3
"Patrick Taylor","RB","67","GB","4",9,8,1.9,4.1,1.6,7.9,12
"Will Dissly","TE","77","SEA","3",5,15,1.9,17.6,0.7,34.1,58.4
"Darrynton Evans","RB","70","TEN","7",12,1,1.8,3.3,2.2,6,8.8
"Dee Eskridge","WR","70","SEA","2",6,10,1.8,10.2,0.8,18.7,32
"Marcus Mariota","QB","73","LV","2",14,9,1.7,1.6,0.9,2.7,3.7
"Anthony Schwartz","WR","67","CLE","2",6,14,1.7,12.6,0.7,21.1,32.5
"Ray-Ray McCloud","WR","68","PIT","3",12,16,1.7,19.8,1.5,33.6,48.4
"Scotty Miller","WR","75","TB","2",9,9,1.6,9.6,0.5,15,22
"Alec Ingold","FB","73","LV","6",6,9,1.6,9.3,0.8,15.1,22.5
"Tony Jones Jr.","RB","67","NO","2",11,11,1.6,7.7,3.5,12,19.7
"Mitchell Trubisky","QB","67","BUF","2",12,6,1.4,4.1,1.6,5.5,7.9
"N'Keal Harry","WR","75","NE","2",6,12,1.4,19.9,0.7,27.2,42.6
"Jordan Akins","TE","72","HOU","5",10,13,1.4,18.5,1.4,25.2,39.1
"Noah Brown","WR","72","DAL","2",14,13,1.4,16.4,0.9,23.2,33
"James Proche II","WR","67","BAL","3",10,14,1.4,10.5,0.8,15.1,20.6
"Cam Akers","RB","82","LAR","1",14,1,1.3,10,6.2,13,20
"Marcedes Lewis","TE","81","GB","2",7,17,1.3,22.3,1.1,28.1,42.8
"D.J. Montgomery","WR","67","NYJ","3",14,3,1.2,13.9,0.8,16.7,27
"Terrace Marshall Jr.","WR","68","CAR","2",9,13,1.2,26.7,1.1,32.5,47.7
"Trayveon Williams","RB","69","CIN","4",12,5,1.1,6.5,2.9,7.2,11.1
"Dyami Brown","WR","67","WAS","2",14,15,1.1,20.8,0.8,22.3,34.4
"KhaDarel Hodge","WR","70","DET","2",12,16,1.1,13.9,0.7,15.4,24.4
"Ian Thomas","TE","70","CAR","2",11,17,1.1,37.4,1,41.4,61.2
"Trent Taylor","WR","72","CIN","3",9,4,1,8,0.5,8.2,13
"Brandon Powell","WR","67","LAR","2",6,6,1,0.5,0,0.5,0.8
"Sean McKeon","TE","67","DAL","4",14,9,1,13.7,0.5,13.2,19.2
"Tom Kennedy","WR","67","DET","2",5,12,1,12,0.5,12.4,20.2
"Patrick Ricard","FB","82","BAL","4",14,13,1,43.7,0.8,42.7,57.3
"Pharaoh Brown","TE","67","HOU","2",10,15,1,40.1,1.5,40.3,64.6
"Collin Johnson","WR","73","NYG","2",7,12,0.9,21.2,1,18.6,29
"Equanimeous St. Brown","WR","67","GB","3",12,13,0.9,21.5,1.1,18.5,28
"Trent Sherfield","WR","69","SF","2",6,17,0.9,18,0.6,15.6,24.3
"C.J. Ham","FB","74","MIN","3",6,17,0.9,23.6,1.5,22.1,33
"Shane Zylstra","TE","67","DET","7",5,4,0.8,24.1,0.9,20.5,31.2
"Curtis Samuel","WR","79","WAS","3",12,5,0.8,22.1,2.6,16.8,22.8
"Greg Dortch","WR","67","ARI","3",11,5,0.8,8.7,1,6.8,9.9
"Chris Manhertz","TE","68","JAX","4",11,17,0.8,29.8,0.5,23,36
"Mike Boone","RB","68","DEN","3",11,8,0.7,4.4,1.1,3.1,4.9
"Ross Dwelley","TE","67","SF","2",12,17,0.7,17.6,0.4,11.5,17.9
"Michael Burton","FB","70","KC","5",14,16,0.7,8,0.9,5.9,8.4
"Keith Kirkwood","WR","67","CAR","2",14,3,0.6,43.5,1.8,24.7,35.2
"Jaelon Darden","WR","69","TB","2",10,9,0.6,16.5,1.3,9.9,14.4
"Noah Gray","TE","67","KC","2",6,16,0.6,30.1,0.7,18.1,26.1
"Kylen Granson","TE","68","IND","3",14,17,0.6,21.5,1,13.4,20.5
"Eric Saubert","TE","67","DEN","3",9,17,0.6,27.1,0.7,17.1,26.8
"Trenton Irwin","WR","67","CIN","3",12,7,0.5,24.4,0.6,11.9,19
"Juwann Winfree","WR","67","GB","4",14,7,0.5,37.6,2.1,20.4,31.4
"Parker Hesse","TE","67","ATL","4",5,8,0.5,28.6,1.2,15.4,25.3
"Josh Oliver","TE","67","BAL","2",6,14,0.5,23.5,1.4,11.1,15
"Jonathan Ward","RB","67","ARI","4",9,13,0.5,6.9,1.8,3.5,5
"Drew Sample","TE","67","CIN","2",12,17,0.5,56.7,1.4,27,41.7
"David Sills V","WR","67","NYG","1",14,4,0.4,57.6,1.2,24.5,37.1
"Kenny Yeboah","TE","67","NYJ","2",12,9,0.4,15,0.6,6,9.4
"Luke Farrell","TE","67","JAX","1",12,15,0.4,45.4,1.2,16.9,27
"Sam Ehlinger","QB","67","IND","2",14,3,0.3,20,3.3,6,8.9
"John Kelly","RB","67","CLE","8",14,4,0.3,2.3,1.5,0.8,1.3
"Adam Prentice","FB","67","NO","3",12,7,0.3,50.5,2.9,15.1,24.1
"Tyler Davis","TE","67","GB","5",10,13,0.3,34.6,1.1,9.3,14.1
"Jakob Johnson","FB","67","NE","7",11,17,0.3,71.9,0.9,18.2,28
"Charlie Woerner","TE","67","SF","5",12,17,0.3,47.9,1,14.6,22.8
"Easop Winston Jr.","WR","67","NO","3",10,3,0.2,28,2,4.7,7.7
"Reggie Gilliam","FB","67","BUF","4",12,16,0.2,59.6,2.3,9.7,13.6
"Cody White","WR","67","PIT","3",10,15,0.2,23.3,1.5,5.1,7.3
"Colby Parkinson","TE","67","SEA","2",6,14,0.2,56.7,1.5,13.4,22.5
"Gunner Olszewski","WR","68","NE","2",11,16,0.2,16.5,0.8,4.1,6.4
"Miles Boykin","WR","74","BAL","2",11,8,0.1,58.3,1.7,4.4,6
"Kevin Rader","TE","67","PIT","5",12,6,0.1,45,2.5,6,8.3
"Hunter Long","TE","67","MIA","5",6,7,0.1,112.5,1.2,12.9,18.5
"Johnny Mundt","TE","67","LAR","3",6,6,0.1,111.1,1.1,16.7,26.5
"Gary Brightwell","RB","67","NYG","6",10,13,0.1,12,2,0.9,1.4
"Mitchell Wilcox","TE","67","CIN","3",14,15,0.1,52.5,1.9,5.6,8.8
"Jack Stoll","TE","67","PHI","2",5,16,0.1,150.5,1.8,20.7,31.6
"Tylan Wallace","WR","68","BAL","2",14,17,0.1,36.5,0.9,4.9,6.8
"Eric Tomlinson","TE","69","BAL","4",5,17,0,455.7,1.4,18.8,25.7
