NAME,POS,RTG,TEAM,DEP,BYE,GP,FPPG,SNAP,TOUCH,#,%
"Josh Allen","QB","91","BUF","1",12,17,23.7,2.9,0.3,68.3,96.9
"Justin Herbert","QB","86","LAC","1",5,17,22.4,3.1,0.2,70.1,99.6
"Derrick Henry","RB","99","TEN","1",14,8,21.9,2.3,1.4,51.4,71.1
"Kyler Murray","QB","86","ARI","1",11,14,21.5,3.1,0.3,67.1,97.4
"Patrick Mahomes","QB","98","KC","1",6,17,21.3,3.2,0.2,68.5,97.4
"Jalen Hurts","QB","72","PHI","1",5,15,20.8,3.1,0.4,63.6,97.8
"Aaron Rodgers","QB","99","GB","1",12,16,20.8,3,0.1,61.4,93.4
"Lamar Jackson","QB","94","BAL","3",14,12,20,3.4,0.6,67.5,91
"Dak Prescott","QB","89","DAL","1",7,16,20,3.5,0.1,69.6,96.5
"Joe Burrow","QB","83","CIN","1",12,16,19.6,3.2,0.1,63,96.4
"Jonathan Taylor","RB","94","IND","1",14,17,19.6,2.3,1.1,45.2,68.9
"Matthew Stafford","QB","86","LAR","1",6,17,19.4,3.2,0.1,62.6,97.8
"Kirk Cousins","QB","80","MIN","1",12,16,18.8,3.6,0.1,67.9,100
"Russell Wilson","QB","92","SEA","1",9,14,17.3,3.2,0.2,56.3,96.9
"Cooper Kupp","WR","96","LAR","1",6,17,17.3,3.5,0.5,60.2,94
"Austin Ekeler","RB","89","LAC","1",14,16,17.1,2.7,1,45.7,64.5
"Jameis Winston","QB","79","NO","3",10,7,16.8,3.2,0.3,53,83.9
"Deebo Samuel","WR","91","SF","1",9,16,16.4,3.2,0.5,51.8,80.3
"Joe Mixon","RB","95","CIN","1",14,16,15.4,2.8,1.4,43.6,66.7
"Jimmy Garoppolo","QB","78","SF","2",6,15,15.2,4,0.2,60.9,94.7
"Carson Wentz","QB","73","IND","1",6,17,15.2,4.2,0.2,64.2,98
"Daniel Jones","QB","73","NYG","3",11,11,15.1,4,0.4,61.2,94.5
"Derek Carr","QB","86","LV","1",12,17,15.1,4.4,0.2,66.3,98.9
"James Conner","RB","82","ARI","2",11,15,14.7,2.7,1.1,39.9,58
"Alvin Kamara","RB","91","NO","1",12,13,14.4,3.3,1.5,48.2,75.5
"Tua Tagovailoa","QB","75","MIA","1",6,13,13.9,4.3,0.2,59.8,87.3
"Jared Goff","QB","71","DET","1",5,14,13.9,4.7,0.1,65.6,99.4
"Nick Chubb","RB","98","CLE","1",10,14,13.9,2.5,1.3,34.4,52.5
"Taylor Heinicke","QB","70","WAS","1",5,16,13.9,4.6,0.3,63.7,95.1
"Davante Adams","WR","99","GB","1",10,16,13.8,4,0.6,55.4,84.9
"Geno Smith","QB","67","SEA","2",10,4,13.6,3.7,0.2,50.8,83.5
"Tyrod Taylor","QB","71","HOU","2",12,6,13.6,4,0.2,53.8,84.8
"Elijah Mitchell","RB","80","SF","5",9,11,13.3,3,1.5,40.1,64
"Dalvin Cook","RB","97","MIN","1",7,13,13.3,3.5,1.6,46.8,70.7
"Najee Harris","RB","83","PIT","1",9,17,13.3,4.3,1.7,57.6,83.5
