NAME,POS,RTG,TEAM,DEP,BYE,GP,FPPG,SNAP,TOUCH,#,%
"John Bates","TE","67","WAS","2",14,17,2,14.7,0.6,29.4,45.2
"D'Ernest Johnson","RB","71","JAX","1",12,17,2,5.6,1.5,11.4,16.6
"Lawrence Cager","TE","68","NYG","",11,1,1.9,1.6,0.5,3,4.8
"Steven Sims","WR","70","HOU","3",14,3,1.9,1.8,0.7,3.3,4.9
"Samori Toure","WR","68","GB","2",7,9,1.9,7.1,0.4,13.7,22
"Charlie Jones","WR","71","CIN","1",12,11,1.9,2.1,0.4,4,6.3
"Cole Turner","TE","67","WAS","3",14,12,1.9,6.2,0.5,11.8,17.3
"Donovan Peoples-Jones","WR","77","DET","2",5,15,1.9,17.9,0.5,34.1,47.8
"Justin Herbert","QB","86","LAC","",5,1,1.8,16.8,0,31,45.6
"Jalen Brooks","WR","67","DAL","2",7,7,1.8,6.2,0.5,11,15.7
"Deuce Vaughn","RB","69","DAL","2",7,7,1.8,4.1,2.1,7.6,10.9
"Keaontay Ingram","RB","67","KC","4",6,8,1.8,8.5,2.8,14.9,22.7
"Ronnie Bell","WR","68","SF","1",9,17,1.8,5.9,0.2,10.8,17.2
"Evan Hull","RB","67","IND","",14,1,1.7,4.7,1.2,8,11.1
"Gary Brightwell","RB","67","NYG","2",10,7,1.7,3.5,1.2,5.9,8.5
"Davis Allen","TE","67","LAR","3",6,15,1.7,7.5,0.4,12.8,19
"Byron Pringle","WR","73","WAS","2",14,17,1.7,6.5,0.5,10.8,16.5
"Jordan Akins","TE","72","CLE","3",10,17,1.7,8.2,0.5,13.6,18.6
"Luke Farrell","TE","67","JAX","2",12,17,1.7,14.4,0.5,24.2,35.2
"Craig Reynolds","RB","67","DET","2",5,17,1.7,4.5,1.6,7.8,11.2
"Derius Davis","WR","68","LAC","1",5,17,1.7,5,1,8.8,12.9
"Nick Muse","TE","67","MIN","3",6,2,1.6,0.6,0.3,1,1.6
"Equanimeous St. Brown","WR","72","CHI","2",12,7,1.6,19,0.4,30.4,44.8
"Isaiah McKenzie","WR","76","IND","1",11,13,1.6,5.7,0.7,9,13.2
"Luke Schoonmaker","TE","67","DAL","2",7,17,1.6,13.9,0.3,21.6,31.1
"Mike Boone","RB","68","HOU","1",11,9,1.5,7.6,0.9,11.2,16.9
"Trent Sherfield","WR","72","BUF","2",6,17,1.5,15.3,0.4,23.1,33.7
"MyCole Pruitt","TE","68","ATL","3",9,17,1.5,15.5,0.3,23.7,35.7
"Chris Rodriguez Jr.","RB","67","WAS","3",14,11,1.4,3.6,2.1,4.8,7.1
"Raheem Blackshear","RB","67","CAR","1",11,12,1.4,3,1.2,4.2,6.4
"Trey Sermon","RB","67","IND","3",14,14,1.4,5.3,1.9,7.7,11.3
"Sterling Shepard","WR","76","NYG","2",11,15,1.4,7,0.5,9.5,14.6
