NAME,POS,RTG,TEAM,DEP,BYE,GP,FPPG,SNAP,TOUCH,#,%
"Rhamondre Stevenson","RB","80","NE","1",14,12,12.1,3.3,1.3,40.5,62.9
"Zack Moss","RB","77","IND","2",12,14,12.1,3.1,1.2,37.9,56
"Desmond Ridder","QB","72","ATL","2",11,15,12.1,4.7,0.3,56.7,85.3
"Courtland Sutton","WR","85","DEN","1",14,16,11.9,4.1,0.3,48.9,78
"Tyler Lockett","WR","86","SEA","1",10,17,11.9,4.1,0.4,49.3,79.7
"J.K. Dobbins","RB","77","BAL","",5,1,11.7,2.6,0.9,30,46.9
"Diontae Johnson","WR","84","PIT","1",11,13,11.7,3.9,0.3,45.4,71.1
"Nick Chubb","RB","95","CLE","1",10,2,11.6,2.3,1.4,27,33.5
"Aidan O'Connell","QB","68","LV","1",10,11,11.6,5,0.1,58.3,92.2
"Jaylen Warren","RB","82","PIT","2",9,17,11.6,2.6,1.1,30.5,48.4
"Chris Rodriguez Jr.","RB","67","WAS","",14,2,11.5,1.9,0.9,22,36.4
"Daniel Jones","QB","76","NYG","1",11,6,11.5,4.7,0.6,54.2,81.7
"Tee Higgins","WR","84","CIN","1",12,12,11.5,4.2,0.3,47.8,74
"Najee Harris","RB","82","PIT","1",9,17,11.5,2.9,1.5,33.5,53.1
"Christian Watson","WR","78","GB","1",10,9,11.3,4.4,0.3,49.6,77
"Will Levis","QB","69","TEN","1",5,9,11.3,5.2,0.2,58.7,92.3
"Javonte Williams","RB","80","DEN","1",14,16,11.2,2.8,1.5,30.8,48.9
"T.J. Hockenson","TE","89","MIN","",6,2,11.1,3.8,0.5,41.5,67.5
"Gus Edwards","RB","79","BAL","1",5,17,11,2.5,1.1,27.6,41.7
"Jimmy Garoppolo","QB","67","LV","2",6,7,10.9,4.3,0.3,46.4,77.9
"Drake London","WR","81","ATL","1",12,16,10.9,4.9,0.4,53.8,81.1
"Keaton Mitchell","RB","75","BAL","",14,1,10.8,2.3,1,25,35.7
"Brandin Cooks","WR","84","DAL","1",7,16,10.8,4.7,0.3,50.6,73.7
"Tyson Bagent","QB","67","CHI","2",7,5,10.7,5.7,0.4,61,88.9
"Joshua Palmer","WR","78","LAC","1",5,10,10.7,4.9,0.4,52.5,74.7
"Zach Wilson","QB","67","NYJ","1",14,12,10.7,5.4,0.3,57.3,92.1
"Cole Kmet","TE","83","CHI","1",7,17,10.7,4.8,0.4,51.6,77.2
"Trey McBride","TE","81","ARI","1",11,17,10.7,4.3,0.4,46.2,69.4
"Chuba Hubbard","RB","79","CAR","1",11,17,10.7,3.7,1.5,39.9,59
"Mac Jones","QB","70","NE","2",12,11,10.4,5.6,0.2,57.7,89.6
"Marquise Brown","WR","80","ARI","1",6,13,10.4,5.6,0.4,58.5,89.2
"Rashid Shaheed","WR","78","NO","1",12,15,10.4,3.9,0.3,40.3,58.1
"Jake Ferguson","TE","79","DAL","1",7,17,10.4,5,0.4,51.8,74.3
"Romeo Doubs","WR","78","GB","1",10,17,10.3,4.8,0.3,49.7,77.1
"Ezekiel Elliott","RB","81","NE","1",7,17,10.3,3.1,1.3,31.7,51.3
"Noah Brown","WR","75","HOU","1",14,10,10.2,4.6,0.3,46.3,67.9
"D'Onta Foreman","RB","77","CHI","2",10,9,10.1,2.9,1.3,29.9,42.3
"Dalton Schultz","TE","85","HOU","1",14,15,10,4.9,0.4,49.3,73.2
"Bryce Young","QB","71","CAR","1",11,16,10,6.7,0.2,66.8,99.6
"Mason Rudolph","QB","67","PIT","1",5,4,9.9,5,0.3,49.8,79.3
"Kenny Pickett","QB","74","PIT","2",5,12,9.9,5.7,0.4,55.8,89.3
"Curtis Samuel","WR","79","WAS","1",12,16,9.8,3.6,0.4,35.7,55.5
"Devin Singletary","RB","82","HOU","1",11,17,9.8,3.8,1.5,37,55.5
"Mitch Trubisky","QB","67","PIT","3",12,5,9.7,4.1,0.3,40.2,63.8
"Dallas Goedert","TE","87","PHI","1",5,14,9.7,5.9,0.4,57.8,84.9
"Gabe Davis","WR","85","BUF","1",12,17,9.5,6,0.3,56.8,83
"Khalil Herbert","RB","76","CHI","1",7,12,9.4,3.2,1.4,29.8,44.9
"Dalton Kincaid","TE","80","BUF","2",12,16,9.4,4.7,0.5,43.7,63.4
"Tommy Devito","QB","67","NYG","2",11,10,9.3,4.3,0.4,40.6,65.7
"Bo Melton","WR","73","GB","2",10,5,9.2,3,0.4,27.8,44
"Josh Downs","WR","80","IND","1",14,17,9.2,5,0.4,46.4,68.6
"Tyjae Spears","RB","80","TEN","1",5,17,9,3.6,1,32.8,53.1
"Jarrett Stidham","QB","67","DEN","1",14,3,8.9,5,0.3,44.7,69.1
"Wan'Dale Robinson","WR","74","NYG","1",11,15,8.9,4.8,0.5,42.7,66.4
"Jerry Jeudy","WR","80","DEN","1",10,16,8.9,4.7,0.4,41.4,65.7
"Darius Slayton","WR","77","NYG","1",11,17,8.9,5.9,0.3,52.7,81.2
"Tyler Johnson","WR","70","LAR","3",6,1,8.8,4.1,0.2,36,53.7
"Michael Wilson","WR","73","ARI","1",11,13,8.8,6.2,0.3,54.5,80.5
"Taysom Hill","QB","74","NO","2",12,16,8.8,3,0.8,26.6,38.4
"Jaxon Smith-Njigba","WR","80","SEA","1",10,17,8.8,4.5,0.4,39.7,64.2
"Zay Jones","WR","81","JAX","1",11,9,8.7,6.1,0.4,52.8,73.1
"Hunter Henry","TE","82","NE","1",14,14,8.6,5.5,0.4,47.4,75.2
"Tyler Boyd","WR","81","CIN","1",5,17,8.5,5.7,0.5,48.5,75.7
"Keaton Mitchell","RB","75","BAL","3",14,7,8.4,1.9,0.8,15.7,23.4
"Alexander Mattison","RB","78","MIN","2",10,16,8.3,4.3,1.6,36.2,55
"Kyle Pitts","TE","83","ATL","1",12,17,8.1,5.3,0.4,42.8,64.4
"Tyler Allgeier","RB","79","ATL","2",12,17,8.1,2.6,1.5,21.2,31.9
"Dontayvion Wicks","WR","74","GB","2",10,15,8,3.8,0.3,30.5,47.4
"Antonio Gibson","RB","76","WAS","1",14,16,8,3.7,0.9,29.6,46.1
"Tyrod Taylor","QB","68","NYG","1",12,11,7.9,4.3,0.4,33.9,49.5
"AJ Dillon","RB","79","GB","2",10,15,7.8,4.2,1.7,32.9,50.6
"Elijah Moore","WR","77","CLE","1",10,17,7.8,6.8,0.5,53.1,72.8
"Demario Douglas","WR","76","NE","1",14,14,7.7,4.5,0.5,34.4,55.3
"Odell Beckham Jr.","WR","82","BAL","1",6,14,7.7,4.3,0.3,33.1,49.4
"DJ Chark Jr.","WR","75","CAR","1",5,15,7.7,6.7,0.3,51.4,76
"Jacoby Brissett","QB","68","WAS","2",14,3,7.6,2,0.1,15.3,26.1
"Josh Reynolds","WR","77","DET","1",14,17,7.6,6.5,0.3,48.9,70.6
"Juwan Johnson","TE","76","NO","1",12,13,7.5,5.7,0.4,42.7,65.4
"K.J. Osborn","WR","76","MIN","2",14,16,7.5,6.8,0.4,51.3,78.3
"Zach Ertz","TE","81","ARI","1",14,7,7.4,5.7,0.5,42.1,64.4
"Gerald Everett","TE","84","LAC","1",7,15,7.4,5.1,0.5,38.1,55.9
"Drew Lock","QB","67","SEA","2",11,4,7.3,5,0.2,36.2,60.4
"Jonnu Smith","TE","77","ATL","2",6,17,7.3,5.2,0.4,38.4,57.7
"Jahan Dotson","WR","79","WAS","1",5,17,7.3,7.3,0.4,53.5,82.2
"Tyler Higbee","TE","80","LAR","1",6,15,7.2,8,0.4,57.7,86.3
"Tyler Conklin","TE","78","NYJ","1",12,17,7.2,6.3,0.5,45.4,70.1
"Samaje Perine","RB","77","DEN","2",6,17,7.1,3,0.8,21.2,33.6
"Tutu Atwell","WR","74","LAR","1",6,16,7,6.1,0.4,42.9,64
"Bailey Zappe","QB","67","NE","1",6,10,6.9,6,0.2,41.3,70.2
"Cade Otton","TE","76","TB","1",11,17,6.9,9.1,0.4,62.6,96.5
"Luke Musgrave","TE","74","GB","2",10,11,6.8,6.2,0.5,42.5,66.1
"Roschon Johnson","RB","71","CHI","3",7,15,6.8,3.9,1.1,26.3,39.5
"Justice Hill","RB","75","BAL","1",14,16,6.8,4,1,27.2,41.4
"Cam Akers","RB","81","MIN","2",14,7,6.7,3,1.5,19.9,29.3
"Tanner Hudson","TE","68","CIN","4",12,12,6.7,3.4,0.5,23,35.7
"Jameson Williams","WR","79","DET","1",5,12,6.7,5.5,0.3,37,52.9
"Khalil Shakir","WR","76","BUF","1",12,17,6.7,5.3,0.4,35.5,51.9
"Chigoziem Okonkwo","TE","74","TEN","1",5,17,6.7,6.1,0.5,40.7,65.9
"Zach Charbonnet","RB","74","SEA","2",10,16,6.6,4.5,1.3,29.9,48.2
"Pat Freiermuth","TE","84","PIT","1",9,12,6.4,6.2,0.4,39.5,63.3
"Robert Woods","WR","76","HOU","1",14,14,6.4,7.5,0.5,47.6,70.3
"Nick Westbrook-Ikhine","WR","72","TEN","1",5,13,6.2,7.2,0.3,44.7,71.6
"Rondale Moore","WR","80","ARI","1",12,17,6.2,7.2,0.6,44.5,66.8
"Jaleel McLaughlin","RB","74","DEN","3",14,17,6.2,1.8,1,11.4,18
"A.T. Perry","WR","68","NO","1",12,10,6.1,5.7,0.2,34.3,53.1
"Jonathan Mingo","WR","72","CAR","1",11,12,6.1,10,0.5,61.3,87.5
"Kenneth Gainwell","RB","77","PHI","2",5,16,6.1,4.5,1.2,27.6,41.3
"Andy Dalton","QB","73","CAR","2",11,4,5.9,3.4,0.1,20.2,29.3
"Ty Chandler","RB","70","MIN","1",6,17,5.9,3,1.2,18.1,27.4
"Isaiah Likely","TE","71","BAL","2",14,17,5.9,4.9,0.3,29.2,44
"Donald Parham Jr.","TE","68","LAC","2",14,14,5.7,5.8,0.3,32.9,48
"Rico Dowdle","RB","74","DAL","2",7,16,5.7,2.7,1.2,15.4,22.1
"Nelson Agholor","WR","79","BAL","1",14,17,5.7,6,0.4,34.3,51.8
"Kalif Raymond","WR","77","DET","1",5,17,5.7,3.6,0.4,20.5,29.5
"Brandon Johnson","WR","67","DEN","2",9,13,5.6,4.7,0.3,26.4,42.7
"Justin Watson","WR","73","KC","2",6,16,5.6,6,0.3,33.5,50.5
"Alec Pierce","WR","75","IND","1",14,17,5.6,11.4,0.3,64.1,94.9
"Trey Palmer","WR","73","TB","1",11,17,5.6,7.5,0.4,42.2,65.1
"JuJu Smith-Schuster","WR","76","NE","1",6,11,5.5,7.6,0.5,41.9,64.9
"Dameon Pierce","RB","79","HOU","1",14,14,5.5,3.9,2.1,21.2,32.3
"Demarcus Robinson","WR","73","LAR","2",6,16,5.5,4.5,0.3,24.8,36.3
"Miles Sanders","RB","78","CAR","2",11,16,5.5,4.6,1.8,25.4,37.5
"Quentin Johnston","WR","72","LAC","1",5,17,5.5,8,0.4,44,64.6
"Kendre Miller","RB","72","NO","3",12,8,5.4,2.6,1.2,14,19.8
"Kevin Harris","RB","67","NE","2",14,4,5.3,1.6,0.9,8.5,15.4
"Darnell Mooney","WR","78","CHI","1",12,15,5.3,9.7,0.4,51.1,75.4
"Emari Demercado","RB","71","ARI","2",11,14,5.2,4,1.1,20.9,30.6
"Michael Mayer","TE","75","LV","2",10,14,5.1,8.4,0.4,43,70.8
"Case Keenum","QB","67","HOU","3",14,2,4.9,11.6,0.2,56.5,74.3
"Kylen Granson","TE","68","IND","1",14,15,4.9,6.8,0.4,33.1,49.3
"Rashod Bateman","WR","79","BAL","2",14,16,4.8,8,0.4,38.2,57.2
"Hayden Hurst","TE","77","CAR","1",5,9,4.7,7.9,0.4,37.3,53.5
"Jamaal Williams","RB","77","NO","2",12,13,4.7,5.3,2,24.9,36.9
"Clyde Edwards-Helaire","RB","74","KC","2",6,15,4.7,3.2,1.2,15.1,22.3
"Tony Jones Jr.","RB","67","ARI","3",11,7,4.6,4.1,1,18.9,29.6
"Cedrick Wilson Jr.","WR","76","MIA","1",12,15,4.6,7.8,0.3,36.3,56.3
"Tucker Kraft","TE","68","GB","1",10,17,4.6,7.9,0.4,36.5,56.7
"Chase Brown","RB","70","CIN","2",12,12,4.5,1.7,1.1,7.8,12
"Dawson Knox","TE","83","BUF","1",12,12,4.5,8.9,0.4,40.6,60
"Durham Smythe","TE","72","MIA","1",6,16,4.5,11,0.5,49.1,76.4
"Tre Tucker","WR","72","LV","2",10,16,4.5,4.7,0.4,20.9,33.8
"Dorian Thompson-Robinson","QB","67","CLE","2",10,6,4.4,7.8,0.5,34,46.2
"Parker Washington","WR","69","JAX","1",12,9,4.4,6.1,0.4,26.6,38.5
"Marvin Mims Jr.","WR","77","DEN","1",14,16,4.4,5.4,0.4,24,38.3
"Nick Westbrook-Ikhine","WR","72","TEN","",5,1,4.3,7,0.2,30,47.6
"Darrynton Evans","RB","68","MIA","4",12,7,4.3,3.1,1.3,13.3,19.6
"Elijah Mitchell","RB","80","SF","2",9,11,4.3,3.4,1.7,14.6,22.9
"Allen Lazard","WR","77","NYJ","1",12,14,4.3,11.4,0.4,48.9,75.7
"Noah Fant","TE","75","SEA","1",10,17,4.3,7.8,0.4,33.8,54.6
"Zamir White","RB","72","LV","2",10,17,4.3,3.1,1.6,13.5,21.9
"Noah Gray","TE","71","KC","2",6,17,4.2,8.4,0.4,34.8,52.4
"Tim Boyle","QB","67","NYJ","",6,1,4.1,10.9,0.2,45,66.2
"Jeff Wilson Jr.","RB","76","MIA","3",6,10,4.1,3.6,1.3,14.8,23.2
"Jauan Jennings","WR","74","SF","1",9,13,4,7,0.4,27.8,44.6
"Greg Dortch","WR","72","ARI","1",11,16,4,6.2,0.4,24.8,37.6
"Chris Moore","WR","74","TEN","2",11,17,4,8.7,0.4,35.1,56.8
"Marcus Mariota","QB","69","PHI","2",14,3,3.9,3.7,0.7,14.7,22.9
"Michael Carter","RB","75","ARI","3",11,15,3.9,3.8,0.9,14.9,22.8
"Trenton Irwin","WR","72","CIN","2",12,16,3.9,6.9,0.4,26.8,42.4
"Brandon Powell","WR","72","MIN","1",6,17,3.9,6.1,0.5,23.9,36.3
"Skyy Moore","WR","71","KC","3",6,14,3.8,9.2,0.4,35.4,52.5
"Tommy Tremble","TE","71","CAR","1",11,16,3.8,9.2,0.4,34.6,51.3
"Mike Gesicki","TE","79","NE","1",12,17,3.8,8.1,0.4,31.2,50.4
"Jonathan Mingo","WR","72","CAR","",11,3,3.7,15.7,0.6,58,93.5
"Terrace Marshall Jr.","WR","71","CAR","2",9,9,3.7,10.2,0.6,37.2,55
"KaVontae Turpin","WR","73","DAL","1",7,16,3.7,2.3,0.4,8.8,12.7
"Drew Ogletree","TE","67","IND","3",14,10,3.6,8,0.3,28.7,40.9
"Treylon Burks","WR","74","TEN","1",5,11,3.6,11.1,0.5,40.3,62.1
"Brevin Jordan","TE","68","HOU","2",14,14,3.6,5.6,0.3,20.2,30.5
"Braxton Berrios","WR","73","MIA","1",6,16,3.6,7.9,0.5,28.5,44.4
"Adam Trautman","TE","73","DEN","1",14,17,3.6,12.5,0.4,44.4,70.4
"Colby Parkinson","TE","68","SEA","3",6,17,3.6,8.1,0.4,29.3,47.4
"Allen Robinson II","WR","78","PIT","1",5,17,3.6,12.4,0.5,45.4,72
"Marquez Valdes-Scantling","WR","78","KC","1",12,16,3.5,10.9,0.4,38.6,57.6
